,Nom,theta_max,sigma_theta_max,lambda_min,sigma_lambda_min
0,lif_10mm_20kVp_10images,26.791199854650102,5.475766699139999,73.23636363636365,26.45785059887445
1,lif_10mm_25kVp_10images,26.84679999756492,7.08603757470558,67.13333333333334,19.19698973794484
2,lif_10mm_30kVp_10images,26.723798830396312,7.573856788070766,67.13333333333334,10.337029362810563
3,lif_10mm_35kVp_10images,26.534954445180784,1.5595305514560998,67.13333333333334,4.239617796430043
4,nacl_10mm_20kVp_10images,25.017906898057912,1.7738660368509411,94.00333333333334,7.124462676971978
5,nacl_10mm_25kVp_10images,25.07098535204728,2.5209123777742493,56.402,9.055327840996815
6,nacl_10mm_30kVp_10images,26.169006415871703,1.874750648791244,56.402,6.284928730037453
7,nacl_10mm_35kVp_10images,26.073817795317105,1.5701799764269868,41.77925925925926,8.536710395250916
8,nacl_10mm_35kVp_1images,24.97453718273632,1.5948492453476022,41.77925925925926,7.109940029058538
9,nacl_10mm_35kVp_20images,25.98348291325585,1.5958422353436932,56.402,4.676350797067721
10,nacl_10mm_35kVp_40images,24.916924572244017,1.6197414209531198,56.402,4.705892125583582
11,nacl_10mm_35kVp_5images,25.930128924527097,1.605851426568243,56.402,4.65243480426875
12,nacl_10mm_35kVp_80images,24.94515587178684,1.629585338628755,56.402,4.742767103365128
13,nacl_15mm_35kVp_10images,24.94904449206863,1.2543288897666949,56.402,3.6383644162640194
14,nacl_20mm_35kVp_10images,24.870737293405814,1.0284306044832865,56.402,2.980923367000959
15,nacl_25mm_35kVp_10images,23.66816317314688,0.8860157655228097,56.402,2.529709071250606
16,nacl_5mm_35kVp_10images,25.589723989359115,2.254325579598715,56.402,6.540529995336126
17,si_10mm_20kVp_80images,31.70235267990253,12.627450144806254,18.10333333333333,83.84863812738666
18,si_10mm_25kVp_80images,18.35725832523419,29.55099200591172,57.16842105263158,217.47419979379364
19,si_10mm_30kVp_80images,19.472018610966217,29.449844159532077,54.31,78.03942007484558
20,si_10mm_35kVp_80images,24.74389291472949,1.8883687114297942,54.31,5.5591732995112055
